Landmark,MP_X,MP_Y,GT_X,GT_Y,Eclidean_Distance
NOSE,1011,286,1009,286,2.0
LEFT_SHOULDER,1088,391,925,393,163.01
RIGHT_SHOULDER,931,391,1091,388,160.03
LEFT_ELBOW,1158,477,866,478,292.0
RIGHT_ELBOW,863,479,1161,477,298.01
LEFT_WRIST,1240,542,791,550,449.07
RIGHT_WRIST,785,551,1239,540,454.13
LEFT_HIP,1058,614,960,611,98.05
RIGHT_HIP,979,616,1054,606,75.66
LEFT_KNEE,1056,799,976,799,80.0
RIGHT_KNEE,981,798,1064,801,83.05
LEFT_ANKLE,1037,956,990,964,47.68
RIGHT_ANKLE,995,963,1048,961,53.04
